Tên,Năm ra mắt,Công nghệ xử lí hình ảnh,Giá (đ),Loại Tivi,Kích thước màn hình (inch),Độ phân giải,Tổng công suất loa (W),Tần số quét (Hz),Hãng sản xuất,Xuất xứ,Thời gian bảo hành (tháng)
Smart Tivi di động LG Stanby Me 27inch,2021,"Active HDR, Bộ xử lý α7 Gen4 2K, Nâng cấp hình ảnh Image Enhancing, Nâng cấp độ phân giải Resolution Upscaler",17990000,"Tivi LED, Smart tivi, Tivi thiết kế đặc biệt",27,2k,10,60,Hàn Quốc,Việt Nam,24
Smart Tivi LG UHD 4K 55 inch 55UQ7050,2023,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10, HLG, Điều chỉnh độ sáng tự động AI Brightness, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",9290000,Smart tivi,55,4k,20,60,Lg,Indonesia,24
Smart Tivi Sony 4K 55 inch KD-55X75K VN3,2022,"Chuyển động mượt Motionflow XR 200, HDR10, HLG, Tăng cường tương phản Dynamic Contrast Enhancer, Màu sắc sống động Live Colour, Nâng cấp hình ảnh 4K X-Reality PRO",11990000,"Tivi LED, Smart tivi",55,4k,20,50,Nhật Bản,Việt Nam,24
Android Tivi Xiaomi P1 55 inch,2022,"1.07 tỷ màu (8-Bit + FRC), Dolby Vision, HDR10+, HLG, MEMC, 88% gam màu NTSC, 94% gam màu DCI-P3, Góc xem: 178°(NGANG)/178°(DỌC)",7690000,"Android Tivi, Tivi LED, Smart tivi",55,4k,20,60,Trung Quốc,Việt Nam,24
Smart Tivi NanoCell LG 4K 55 inch 55NANO76SQA,2022,"Active HDR, HDR Dynamic Tone Mapping, HDR10 Pro, HLG, Dải màu rộng Nano Color, Nâng cấp hình ảnh AI Picture Pro 4K, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ game HGiG, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",11490000,"Tivi NanoCell, Smart tivi",55,4k,20,60,Lg,Indonesia,24
Smart Tivi Samsung Crystal UHD 4K 55 inch UA55AU7700KXXV,2021,"Analog Clean View, Bộ xử lý Crystal 4K, Chuyển động mượt Motion Xcelerator, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), HDR10+, Khử nhiễu hình ảnh Digital Clean View, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, Nâng cấp độ tương phản Max Contrast, PurColor",9990000,"Tivi LED, Smart tivi",55,4k,20,60,Samsung,Việt Nam,24
Smart Tivi Samsung Crystal UHD 55 Inch 55BU8000,2022,"Dynamic Crystal Color dải màu trong trẻo vô tận, Hiển thị chính xác một tỷ sắc màu, Bộ xử lý hình ảnh Crystal 4K tối ưu hóa nâng cấp độ chi tiết của từng gam màu, Công nghệ HDR10+, UHD Dimming, Contrast Enhancer tự động nâng cấp độ sâu hình ảnh, Motion Xcelerator tự động thêm khung hình vào nội dung gốc để hình ảnh mượt mà",12690000,"Tivi LED, Smart tivi",55,4k,20,60,Hàn Quốc,Việt Nam,24
Smart Tivi Khung Tranh The Frame 4K Samsung LTV 50 inch 50LS03BA,2022,"Adaptive Picture, Ambient Mode+, Brightness/Color Detection, Chuyển động mượt Motion Xcelerator Turbo+, Chuyển động ảnh mượt mà Auto Motion Plus, Chế độ Game Motion Plus, Chế độ hình ảnh tự nhiên Natural Mode, Chế độ phim Film mode, Art Mode, Chống xé hình FreeSync Premium Pro, Khử nhiễu hình ảnh Digital Clean View, Quantum Dot, Quantum HDR, Super Ultra Wide Game View & Game Bar, Supreme UHD Dimming, Độ tương phản cao - Mega Contrast, Công nghệ cảm biến chuyển động Motion Sensor, Công nghệ cảm biến ánh sáng Brightness Sensor",12990000,"Tivi QLED, Smart tivi, Tivi thiết kế đặc biệt",50,4k,20,60,Samsung,Việt Nam,24
Android Tivi Xiaomi A2 58 inch,2022,"Màn hình 4K UHD, Độ phân giải: 3840 × 2160 pixels, Gam màu: DCI-P3 90% (typ), Độ sâu màu: 1.07 tỷ màu, MEMC: Lên đến UHD 60Hz, HDR10, HLG, Dolby Vision",7490000,"Android Tivi, Smart tivi",58,4k,10,60,Trung Quốc,Việt Nam,24
Smart Tivi Samsung 4K 65 inch UA65AU7002,2022,"Chuyển động mượt Motion Xcelerator, HDR10+, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, PurColor, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), 1 tỉ màu",10990000,"Tivi LED, Smart tivi",65,4k,20,60,Hàn Quốc,Việt Nam,24
